epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.2264,3.58592,2.76184,1.41021,0.94497,0.04379,0.05812,0.02295,3.04368,2.33243,1.09049,0.00032971,0.00032971,0.00032971
2,114.494,3.15381,1.75176,1.14729,0.40739,0.07031,0.03731,0.0116,3.52579,4.50894,1.18185,0.000656479,0.000656479,0.000656479
3,184.958,3.0628,1.7195,1.09814,0.38807,0.08906,0.02604,0.0088,3.13885,18.8644,1.07945,0.000976649,0.000976649,0.000976649
4,255.488,2.94058,1.61534,1.07792,0.65477,0.08167,0.07943,0.03011,3.07099,1.79152,1.0706,0.0009703,0.0009703,0.0009703
5,326.805,2.91282,1.59597,1.06523,0.49739,0.0948,0.0989,0.0386,3.00027,1.76616,1.03012,0.0009604,0.0009604,0.0009604
6,398.854,2.93245,1.56073,1.05431,0.5238,0.08842,0.08705,0.03338,3.05025,1.58896,1.04775,0.0009505,0.0009505,0.0009505
7,471.054,2.82664,1.49442,1.03889,0.73951,0.11232,0.10347,0.04064,2.82001,1.4881,1.02809,0.0009406,0.0009406,0.0009406
8,543.627,2.74555,1.45175,1.01957,0.55504,0.11568,0.10933,0.0425,2.78606,1.36258,1.0151,0.0009307,0.0009307,0.0009307
9,608.255,2.75034,1.42833,1.01653,0.52342,0.10467,0.10054,0.04173,2.86405,1.6048,1.0189,0.0009208,0.0009208,0.0009208
10,679.381,2.71167,1.4023,1.00899,0.59036,0.09123,0.0965,0.03421,3.08592,1.71248,1.02958,0.0009109,0.0009109,0.0009109
11,739.644,2.64777,1.39466,1.01711,0.61315,0.10089,0.11401,0.048,2.77635,1.53688,1.00863,0.000901,0.000901,0.000901
12,784.131,2.6368,1.37467,0.99937,0.39628,0.13704,0.1235,0.04919,2.6431,1.49222,0.99121,0.0008911,0.0008911,0.0008911
13,844.832,2.63461,1.34366,1.00305,0.37449,0.12542,0.11464,0.04604,2.82718,1.41161,1.00057,0.0008812,0.0008812,0.0008812
14,934.76,2.55806,1.31973,0.99938,0.6577,0.10778,0.12557,0.04775,2.76114,1.38825,0.99239,0.0008713,0.0008713,0.0008713
15,1018.03,2.56284,1.30132,0.99391,0.54722,0.10651,0.10773,0.04542,2.77478,1.55802,1.00079,0.0008614,0.0008614,0.0008614
16,1099.63,2.56913,1.32291,0.97781,0.431,0.12561,0.13027,0.04845,2.8713,1.37656,1.00333,0.0008515,0.0008515,0.0008515
17,1158.64,2.47964,1.25045,0.98641,0.58587,0.13847,0.13296,0.05713,2.53743,1.34599,0.96741,0.0008416,0.0008416,0.0008416
18,1216.58,2.44665,1.25856,0.97875,0.3916,0.13982,0.12888,0.055,2.64292,1.42833,0.98347,0.0008317,0.0008317,0.0008317
19,1273.91,2.48412,1.26904,0.97771,0.41451,0.13543,0.14966,0.06575,2.47683,1.26613,0.9727,0.0008218,0.0008218,0.0008218
20,1335.82,2.47016,1.21219,0.97357,0.57352,0.13462,0.13586,0.05754,2.70819,1.34846,0.98421,0.0008119,0.0008119,0.0008119
21,1396.29,2.39869,1.19483,0.97072,0.4239,0.12598,0.1333,0.05752,2.57884,1.2639,0.97028,0.000802,0.000802,0.000802
22,1458.56,2.41817,1.21757,0.97306,0.59277,0.14169,0.14205,0.06344,2.51994,1.19902,0.96576,0.0007921,0.0007921,0.0007921
23,1517.92,2.38989,1.21529,0.96996,0.59811,0.13866,0.14494,0.06513,2.47681,1.39437,0.95454,0.0007822,0.0007822,0.0007822
24,1575.64,2.3965,1.20638,0.97064,0.57693,0.13329,0.13052,0.05357,2.73874,1.36373,0.99425,0.0007723,0.0007723,0.0007723
25,1631.43,2.419,1.20022,0.97,0.40044,0.12635,0.13149,0.05657,2.60611,1.32896,0.97149,0.0007624,0.0007624,0.0007624
26,1708.91,2.39888,1.21571,0.95844,0.58264,0.13866,0.12923,0.04899,2.71772,1.2037,0.97698,0.0007525,0.0007525,0.0007525
27,1792.33,2.37809,1.18191,0.96381,0.5836,0.12939,0.13021,0.05736,2.69959,1.36192,0.97445,0.0007426,0.0007426,0.0007426
28,1875.51,2.39853,1.20457,0.96139,0.60513,0.14353,0.15621,0.06331,2.52848,1.20482,0.9505,0.0007327,0.0007327,0.0007327
29,1958.47,2.3356,1.13857,0.94809,0.59836,0.14676,0.15253,0.06337,2.47632,1.43901,0.94918,0.0007228,0.0007228,0.0007228
30,2041.17,2.28792,1.15372,0.94999,0.60207,0.14118,0.16014,0.06827,2.55845,1.15109,0.96215,0.0007129,0.0007129,0.0007129
31,2123.52,2.34483,1.16607,0.95709,0.65112,0.14087,0.14923,0.06986,2.33904,1.19219,0.93464,0.000703,0.000703,0.000703
32,2206.08,2.36907,1.15158,0.95187,0.23924,0.15481,0.14766,0.05879,2.60228,1.19012,0.96567,0.0006931,0.0006931,0.0006931
33,2281.49,2.322,1.14256,0.94743,0.62016,0.14054,0.15347,0.06374,2.57835,1.241,0.95976,0.0006832,0.0006832,0.0006832
34,2354.59,2.26832,1.1183,0.94346,0.46974,0.14778,0.15082,0.0718,2.36566,1.22487,0.93853,0.0006733,0.0006733,0.0006733
35,2422.48,2.2587,1.12019,0.95482,0.52628,0.15172,0.16426,0.07319,2.41073,1.1384,0.94142,0.0006634,0.0006634,0.0006634
36,2492.04,2.30574,1.12776,0.94878,0.5226,0.15428,0.17187,0.08035,2.27828,1.07391,0.93818,0.0006535,0.0006535,0.0006535
37,2562.58,2.30371,1.12587,0.95026,0.57818,0.15663,0.18209,0.08055,2.2577,1.02388,0.93813,0.0006436,0.0006436,0.0006436
38,2637.52,2.28884,1.12035,0.94994,0.29868,0.15782,0.17208,0.07374,2.43462,1.08261,0.94192,0.0006337,0.0006337,0.0006337
39,2703.89,2.27842,1.10751,0.94759,0.51462,0.13979,0.16149,0.07651,2.32822,1.23776,0.93271,0.0006238,0.0006238,0.0006238
40,2773.69,2.18193,1.07894,0.93766,0.47592,0.16166,0.17099,0.07581,2.26768,1.05832,0.92428,0.0006139,0.0006139,0.0006139
41,2843.04,2.20229,1.08003,0.9455,0.31193,0.1601,0.1683,0.07564,2.32992,1.12546,0.92313,0.000604,0.000604,0.000604
42,2911.84,2.20494,1.05411,0.93544,0.50302,0.14719,0.1662,0.07734,2.25917,1.12366,0.93504,0.0005941,0.0005941,0.0005941
43,2981.45,2.21926,1.07184,0.93824,0.48975,0.15908,0.17581,0.08201,2.28077,1.12212,0.9324,0.0005842,0.0005842,0.0005842
44,3050.89,2.20497,1.05201,0.94321,0.48736,0.16579,0.16525,0.07786,2.28385,1.12181,0.93767,0.0005743,0.0005743,0.0005743
45,3123.78,2.13962,1.03175,0.92932,0.45371,0.15068,0.15327,0.07315,2.37752,1.23487,0.93982,0.0005644,0.0005644,0.0005644
